,제품링크,거래량,브랜드명,제품명_영문,제품명_한글,관심상품_등록수,스타일_업로드횟수,발매가,모델번호,출시일,대표 색상
10,https://kream.co.kr/products/218059?fetchRelated=true,3950,Nike,Nike Air Force 1 '07 Cacao Wow Coconut Milk,나이키 에어포스 1 '07 카카오 와우 코코넛 밀크,22000,84,"139,000원",FZ3592-259,23/12/10,Cacao Wow/Coconut Milk/Vintage Green/Sail
11,https://kream.co.kr/products/78768?fetchRelated=true,28000,Nike,Nike Air Force 1 '07 LV8 Midnight Navy,나이키 에어포스 1 '07 LV8 미드나잇 네이비,72000,466,"139,000원",DQ7659-101,22/11/14,Sail/Midnight Navy/Gum Medium Brown
12,https://kream.co.kr/products/44653?fetchRelated=true,27000,Nike,Nike x Supreme Air Force 1 Low Flax,나이키 x 슈프림 에어포스 1 로우 플랙스,44000,2583,"$150 (약 196,500원)",DN1555-200,21/11/05,Flax/Flax-Gum Light Brown
13,https://kream.co.kr/products/23626?fetchRelated=true,30000,Nike,Nike x Supreme Air Force 1 Low Black,나이키 x 슈프림 에어포스 1 로우 블랙,43000,2018,"$118 (약 154,600원)",CU9225-001,20/03/05,Black/Black-Black
14,https://kream.co.kr/products/22857?fetchRelated=true,9264,Nike,Nike x Peaceminusone Air Force 1 Low Para-Noise,나이키 x 피스마이너스원 에어포스 1 로우 파라노이즈,15000,5474,"219,000원",AQ3692-001,19/11/23,Black/White
15,https://kream.co.kr/products/132209?fetchRelated=true,6682,Nike,Nike x Jacquemus J Force 1 Low LX SP Black,나이키 x 자크뮈스 J 포스 1 로우 LX SP 블랙,24000,309,"179,000원",DR0424-001,23/06/21,Black/Metallic Silver/Black
16,https://kream.co.kr/products/222597?fetchRelated=true,705,Nike,Nike Air Force 1 '07 PRM Baroque Brown Coconut Milk,나이키 에어포스 1 '07 프리미엄 바로크 브라운 코코넛 밀크,9242,19,"$145 (약 189,900원)",CI9349-201,24/01/02,Baroque Brown/Coconut Milk/Pacific Moss
17,https://kream.co.kr/products/23426?fetchRelated=true,460,Nike,Nike x Peaceminusone Air Force 1 Low Para-Noise - Korea Exclusive,나이키 x 피스마이너스원 에어포스 1 로우 파라노이즈 - 한국 한정,3165,300,"219,000원",AQ3692-002,19/11/22,Black
18,https://kream.co.kr/products/193804?fetchRelated=true,3458,Nike,Nike x Supreme Air Force 1 Low Baroque Brown,나이키 x 슈프림 에어포스 1 로우 바로크 브라운,14000,297,"$124 (약 162,400원)",CU9225-200,23/11/02,Baroque Brown/Baroque Brown/Baroque Brown
19,https://kream.co.kr/products/22264?fetchRelated=true,12000,Nike,(GS) Nike Air Force 1 LV8 3 Wheat,(GS) 나이키 에어포스 1 LV8 3 위트,27000,396,"$85 (약 111,300원)",BQ5485-700,19/10/02,Wheat/Gum Light Brown-Wheat
20,https://kream.co.kr/products/28180?fetchRelated=true,20000,Nike,Nike Air Force 1 '07 White Black,나이키 에어포스 1 '07 화이트 블랙,33000,515,"139,000원",CT2302-100,20/12/23,White/Black
21,https://kream.co.kr/products/92597?fetchRelated=true,20000,Nike,Nike Air Force 1 '07 Black White,나이키 에어포스 1 '07 블랙 화이트,35000,476,"139,000원",DV0788-001,22/12/15,Black/White/Black
22,https://kream.co.kr/products/31419?fetchRelated=true,35000,Nike,(GS) Nike Air Force 1 LE White,(GS) 나이키 에어포스 1 LE 화이트,43000,333,"109,000원",DH2920-111,21/03/16,White/White
23,https://kream.co.kr/products/132208?fetchRelated=true,5933,Nike,Nike x Jacquemus J Force 1 Low LX SP White,나이키 x 자크뮈스 J 포스 1 로우 LX SP 화이트,16000,433,"179,000원",DR0424-100,23/06/21,White/Metallic Silver
24,https://kream.co.kr/products/79358?fetchRelated=true,2584,Nike,Nike Air Force 1 '07 LV8 Night Maroon,나이키 에어포스 1 '07 LV8 나이트 마룬,13000,81,"139,000원",DQ7659-102,22/11/14,Sail/Night Maroon/Gum Medium Brown
25,https://kream.co.kr/products/341649?fetchRelated=true,313,Nike,Nike x Supreme Air Force 1 Mid White,나이키 x 슈프림 에어포스 1 미드 화이트,1772,40,"$133 (약 174,200원)",FZ8784-100,24/08/29,White/White-White
